epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0768,1.40575,2.25184,1.26402,0.68302,0.76006,0.86238,0.59897,1.13689,1.41534,1.05717,0.000324561,0.000324561,0.0678684
2,22.44,1.1258,0.91707,1.10982,0.8554,0.86927,0.92868,0.60666,1.27602,1.02754,1.12324,0.000651382,0.000651382,0.0348619
3,29.8183,1.14571,0.86173,1.12004,0.93664,0.91917,0.98193,0.72867,0.96789,0.65526,1.04952,0.000971602,0.000971602,0.00184879
4,37.2477,1.03612,0.75931,1.07992,0.9657,0.96848,0.98401,0.66573,1.173,0.5932,1.07185,0.0009703,0.0009703,0.0009703
5,44.1611,0.95838,0.66883,1.0392,0.96381,0.9878,0.98679,0.66593,1.18035,0.56556,1.065,0.0009604,0.0009604,0.0009604
6,51.2552,0.94543,0.64553,1.03577,0.9665,0.98576,0.98667,0.74263,0.9212,0.51294,0.98956,0.0009505,0.0009505,0.0009505
7,58.503,0.91087,0.60417,1.02756,0.98423,0.98918,0.98797,0.76031,0.90086,0.46815,0.99003,0.0009406,0.0009406,0.0009406
8,66.0109,0.87816,0.57676,1.0046,0.97855,0.98874,0.98433,0.75432,0.88093,0.47501,0.99765,0.0009307,0.0009307,0.0009307
9,73.147,0.86502,0.55527,1.00439,0.97996,0.98741,0.98467,0.7308,0.9775,0.46696,1.00306,0.0009208,0.0009208,0.0009208
10,80.1091,0.90636,0.56529,1.02212,0.97807,0.99202,0.98464,0.7584,0.90024,0.46496,0.97882,0.0009109,0.0009109,0.0009109
11,87.4929,0.92136,0.564,1.02095,0.97849,0.99164,0.98903,0.76706,0.89301,0.44689,0.97326,0.000901,0.000901,0.000901
12,94.8896,0.89402,0.56084,1.01825,0.9858,0.98125,0.98439,0.74673,0.95046,0.43782,0.98552,0.0008911,0.0008911,0.0008911
13,101.992,0.82674,0.51831,0.98969,0.97477,0.99232,0.98626,0.73511,0.97783,0.45223,1.07113,0.0008812,0.0008812,0.0008812
14,109.19,0.83245,0.52056,0.99905,0.98504,0.99084,0.98609,0.786,0.81785,0.4035,0.95652,0.0008713,0.0008713,0.0008713
15,116.573,0.80022,0.49475,0.98027,0.98194,0.99301,0.985,0.76953,0.86067,0.39771,0.96004,0.0008614,0.0008614,0.0008614
16,124.136,0.81392,0.4996,0.98994,0.97753,0.98953,0.98544,0.78413,0.83429,0.41459,0.97525,0.0008515,0.0008515,0.0008515
17,131.802,0.87039,0.51004,1.01132,0.97455,0.98486,0.98612,0.79626,0.79946,0.41749,0.95224,0.0008416,0.0008416,0.0008416
18,139.612,0.81102,0.48496,0.98163,0.96993,0.98428,0.98772,0.79277,0.82016,0.40102,0.95143,0.0008317,0.0008317,0.0008317
19,147.48,0.77921,0.4746,0.9753,0.9669,0.98747,0.98949,0.77814,0.84793,0.39748,0.95257,0.0008218,0.0008218,0.0008218
20,155.381,0.79367,0.47341,0.97756,0.98381,0.99067,0.98747,0.78449,0.80931,0.38747,0.9493,0.0008119,0.0008119,0.0008119
21,163.139,0.79417,0.46373,0.97871,0.9775,0.9861,0.98529,0.77824,0.83241,0.39559,0.95739,0.000802,0.000802,0.000802
22,170.556,0.80323,0.47163,0.98588,0.9778,0.99301,0.98643,0.75278,0.92543,0.4025,0.98287,0.0007921,0.0007921,0.0007921
23,178.186,0.77491,0.45261,0.971,0.9787,0.98113,0.98686,0.76244,0.91737,0.39095,0.98099,0.0007822,0.0007822,0.0007822
24,185.708,0.77988,0.44265,0.97116,0.98338,0.9914,0.98524,0.79568,0.79545,0.36938,0.95847,0.0007723,0.0007723,0.0007723
25,192.974,0.76455,0.4383,0.97349,0.98483,0.99087,0.98465,0.76762,0.87497,0.39365,0.96466,0.0007624,0.0007624,0.0007624
26,200.229,0.7667,0.43524,0.96366,0.9519,0.98268,0.98573,0.78177,0.81537,0.38811,0.95465,0.0007525,0.0007525,0.0007525
27,208.167,0.76411,0.43562,0.96945,0.97243,0.98778,0.98451,0.78949,0.80616,0.37544,0.95596,0.0007426,0.0007426,0.0007426
28,215.548,0.75475,0.43037,0.96997,0.98048,0.98949,0.98667,0.79468,0.78968,0.376,0.95146,0.0007327,0.0007327,0.0007327
29,223.083,0.74141,0.42271,0.95766,0.98737,0.99301,0.98629,0.78545,0.81663,0.36694,0.95145,0.0007228,0.0007228,0.0007228
30,230.626,0.72736,0.41082,0.95175,0.98371,0.99012,0.9862,0.7985,0.78132,0.3552,0.93817,0.0007129,0.0007129,0.0007129
31,238.513,0.73098,0.41635,0.95155,0.97826,0.99301,0.9859,0.79447,0.79158,0.35983,0.94514,0.000703,0.000703,0.000703
32,246.566,0.74075,0.41918,0.95817,0.98291,0.98568,0.98655,0.78862,0.81999,0.36455,0.95484,0.0006931,0.0006931,0.0006931
33,254.089,0.74067,0.41141,0.96239,0.98156,0.98907,0.98618,0.79241,0.8048,0.37108,0.96003,0.0006832,0.0006832,0.0006832
34,261.441,0.71649,0.40458,0.9557,0.97462,0.99156,0.98467,0.77889,0.85067,0.36155,0.9779,0.0006733,0.0006733,0.0006733
35,269.026,0.72009,0.40367,0.95459,0.98224,0.99301,0.98588,0.8021,0.80202,0.35403,0.96599,0.0006634,0.0006634,0.0006634
36,276.726,0.71429,0.39835,0.94852,0.98779,0.98652,0.98793,0.76819,0.87314,0.3566,0.96882,0.0006535,0.0006535,0.0006535
37,285.362,0.71704,0.39983,0.95335,0.97921,0.99224,0.98687,0.80087,0.78125,0.35809,0.95069,0.0006436,0.0006436,0.0006436
38,293.132,0.71313,0.39643,0.95164,0.97983,0.98588,0.98562,0.80507,0.76616,0.35414,0.94091,0.0006337,0.0006337,0.0006337
39,301.022,0.72077,0.40417,0.95195,0.98114,0.99137,0.98694,0.76048,0.90782,0.37011,0.98545,0.0006238,0.0006238,0.0006238
40,308.939,0.70893,0.39461,0.94817,0.98576,0.99255,0.98595,0.79786,0.79238,0.34808,0.95049,0.0006139,0.0006139,0.0006139
