epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2295,1.44101,2.78307,1.25958,0.8323,0.7799,0.90196,0.64392,1.05069,1.22887,1.00974,0.000190842,0.000190842,0.000190842
2,34.6879,1.02348,0.94643,1.04548,0.96614,0.96428,0.97898,0.69459,1.03358,0.63674,1.01543,0.000374076,0.000374076,0.000374076
3,43.1117,0.9668,0.73331,1.01736,0.96624,0.96994,0.98371,0.65598,1.17754,0.60875,1.03353,0.000544375,0.000544375,0.000544375
4,50.7626,0.91416,0.65158,0.99182,0.95735,0.98272,0.98431,0.71155,1.03555,0.5246,0.98876,0.000529788,0.000529788,0.000529788
5,59.3396,0.85364,0.58678,0.97686,0.94097,0.97813,0.98611,0.76326,0.86344,0.46893,0.98189,0.000510384,0.000510384,0.000510384
6,67.5167,0.8471,0.5419,0.97101,0.97234,0.99208,0.98555,0.77936,0.82847,0.42986,0.94816,0.00049098,0.00049098,0.00049098
7,75.591,0.81847,0.51631,0.96202,0.98208,0.9786,0.98776,0.79034,0.79459,0.40622,0.93043,0.000471576,0.000471576,0.000471576
8,83.1839,0.84764,0.51479,0.96696,0.97204,0.98958,0.98598,0.77304,0.81648,0.40448,0.94688,0.000452172,0.000452172,0.000452172
9,91.2062,0.78942,0.47798,0.94887,0.98246,0.9893,0.98589,0.77791,0.8221,0.39365,0.93354,0.000432768,0.000432768,0.000432768
10,99.2253,0.8088,0.47694,0.95734,0.98402,0.98725,0.98623,0.79604,0.7925,0.38689,0.94046,0.000413364,0.000413364,0.000413364
11,108.189,0.79567,0.47055,0.95668,0.98628,0.9882,0.98602,0.79972,0.77867,0.36696,0.92553,0.00039396,0.00039396,0.00039396
12,117.13,0.78329,0.44982,0.94942,0.98483,0.98829,0.98728,0.74962,0.91605,0.39581,0.95501,0.000374556,0.000374556,0.000374556
13,125.487,0.74699,0.43249,0.93772,0.97915,0.98888,0.98307,0.77609,0.84451,0.38112,0.97131,0.000355152,0.000355152,0.000355152
14,134.219,0.75155,0.43492,0.94013,0.97755,0.99301,0.98429,0.79503,0.79102,0.35852,0.92605,0.000335748,0.000335748,0.000335748
15,143.714,0.74015,0.41848,0.93582,0.97339,0.9871,0.98853,0.80158,0.77935,0.3561,0.92639,0.000316344,0.000316344,0.000316344
16,152.672,0.73288,0.41419,0.93388,0.98656,0.98886,0.98652,0.80022,0.78874,0.35271,0.92784,0.00029694,0.00029694,0.00029694
17,160.563,0.73008,0.41084,0.93343,0.97976,0.99154,0.98653,0.80907,0.76393,0.34329,0.928,0.000277536,0.000277536,0.000277536
18,169.346,0.73702,0.40546,0.93826,0.97017,0.9928,0.98552,0.8001,0.77288,0.34903,0.9204,0.000258132,0.000258132,0.000258132
19,177.81,0.71731,0.39252,0.92768,0.97884,0.99013,0.98585,0.79499,0.79977,0.34152,0.92204,0.000238728,0.000238728,0.000238728
20,185.956,0.71734,0.39106,0.92771,0.98142,0.99219,0.98553,0.79465,0.82503,0.3533,0.95061,0.000219324,0.000219324,0.000219324
21,212.026,0.66534,0.33453,0.90773,0.9773,0.99233,0.98646,0.80901,0.77355,0.34603,0.92042,0.00019992,0.00019992,0.00019992
22,219.661,0.65653,0.32936,0.90005,0.97481,0.98976,0.98838,0.80876,0.76566,0.3356,0.92895,0.000180516,0.000180516,0.000180516
23,227.496,0.63997,0.32288,0.89756,0.97386,0.99147,0.98678,0.80626,0.76295,0.33134,0.92614,0.000161112,0.000161112,0.000161112
24,235.76,0.63291,0.31505,0.89534,0.97779,0.98112,0.98801,0.81379,0.75906,0.32645,0.92442,0.000141708,0.000141708,0.000141708
25,243.708,0.62694,0.31231,0.89164,0.97441,0.98897,0.98741,0.81177,0.76251,0.32614,0.92558,0.000122304,0.000122304,0.000122304
26,251.538,0.61884,0.30632,0.89137,0.97463,0.98918,0.98592,0.80978,0.74925,0.32724,0.92163,0.0001029,0.0001029,0.0001029
27,259.22,0.61486,0.2969,0.8855,0.96651,0.98974,0.9873,0.81334,0.75764,0.32594,0.92374,8.3496e-05,8.3496e-05,8.3496e-05
28,267.11,0.60999,0.2951,0.8876,0.96252,0.99003,0.98556,0.81195,0.76185,0.32002,0.92396,6.4092e-05,6.4092e-05,6.4092e-05
29,274.967,0.60271,0.2906,0.88971,0.96334,0.99108,0.98567,0.81124,0.75428,0.31933,0.92337,4.4688e-05,4.4688e-05,4.4688e-05
30,282.65,0.59623,0.2869,0.87998,0.96557,0.99145,0.98704,0.81487,0.74764,0.3134,0.92036,2.5284e-05,2.5284e-05,2.5284e-05
