epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.4366,2.48183,1.47941,1.06396,0.7252,0.61395,0.58599,0.23418,2.32483,1.29286,1.01421,0.000664474,0.000664474,0.000664474
2,92.5342,1.95246,0.97891,0.90438,0.7822,0.67432,0.65282,0.25831,2.27663,1.17964,1.02527,0.00128721,0.00128721,0.00128721
3,136.577,1.83689,0.91307,0.88579,0.78373,0.68027,0.66551,0.25878,2.23848,1.22902,1.00164,0.00186595,0.00186595,0.00186595
4,177.974,1.70863,0.83739,0.86946,0.7658,0.66808,0.63484,0.24084,2.21714,1.19511,0.99129,0.001802,0.001802,0.001802
5,219.39,1.66064,0.81175,0.86543,0.66663,0.57483,0.55255,0.14669,2.74343,1.42642,1.08451,0.001736,0.001736,0.001736
6,261.169,1.5959,0.76852,0.85721,0.81264,0.7192,0.71808,0.24205,2.38991,1.21049,1.01632,0.00167,0.00167,0.00167
7,303.066,1.53767,0.73659,0.85109,0.78272,0.69435,0.70444,0.25409,2.33448,1.20018,0.98663,0.001604,0.001604,0.001604
8,343.842,1.49235,0.70676,0.84424,0.77938,0.69192,0.6793,0.22308,2.39795,1.17431,1.00785,0.001538,0.001538,0.001538
9,385.884,1.45967,0.6793,0.84107,0.7183,0.6267,0.61026,0.18722,2.62636,1.29845,1.06171,0.001472,0.001472,0.001472
10,426.581,1.41055,0.66057,0.83518,0.7926,0.72359,0.75198,0.23371,2.57466,1.16267,1.06256,0.001406,0.001406,0.001406
11,467.069,1.37419,0.63994,0.83097,0.79155,0.71542,0.69903,0.22198,2.41265,1.11334,1.00506,0.00134,0.00134,0.00134
12,507.492,1.30976,0.6079,0.82695,0.7767,0.69898,0.68855,0.21367,2.51969,1.21097,1.05761,0.001274,0.001274,0.001274
13,551.366,1.2931,0.59781,0.82437,0.76445,0.6987,0.69393,0.25044,2.35991,1.15444,1.02414,0.001208,0.001208,0.001208
14,592.895,1.25518,0.58248,0.82177,0.79081,0.70805,0.73481,0.24725,2.45184,1.14702,1.036,0.001142,0.001142,0.001142
15,634.385,1.23668,0.56922,0.8204,0.75909,0.68282,0.67992,0.21691,2.54021,1.1829,1.06994,0.001076,0.001076,0.001076
16,675.762,1.19831,0.5559,0.81527,0.68752,0.63209,0.60601,0.18726,2.73324,1.26089,1.1589,0.00101,0.00101,0.00101
17,718.371,1.17879,0.54048,0.81267,0.75969,0.69019,0.71591,0.23195,2.59927,1.20395,1.12325,0.000944,0.000944,0.000944
18,760.394,1.16931,0.53828,0.81277,0.7807,0.72753,0.72433,0.2279,2.59559,1.17063,1.07941,0.000878,0.000878,0.000878
19,802.606,1.12737,0.52177,0.80944,0.78399,0.72704,0.69339,0.21633,2.581,1.13098,1.11451,0.000812,0.000812,0.000812
20,844.634,1.11786,0.51429,0.80658,0.765,0.70956,0.72927,0.22856,2.59517,1.15003,1.11232,0.000746,0.000746,0.000746
21,908.949,1.06533,0.50055,0.82354,0.73779,0.66525,0.68597,0.20619,2.55681,1.21644,1.04369,0.00068,0.00068,0.00068
22,945.383,1.03908,0.49015,0.82175,0.73598,0.68906,0.69517,0.22003,2.67302,1.18696,1.15646,0.000614,0.000614,0.000614
23,982.424,1.00188,0.47479,0.8178,0.77228,0.70975,0.70564,0.20777,2.66,1.17479,1.09669,0.000548,0.000548,0.000548
